YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual 24-hr Avg.
1994,,,4438,4483,4763,6126,6873,6862,5543,4757,4147,4512
1995,3988,4118,4868,4935,5406,6494,6773,7005,6027,5407,5016,4619,5388
1996,3615,4057,5124,5309,5670,6750,7325,7438,6161,5619,5228,4491,5566
1997,4078,4431,5342,5395,5901,6953,7485,7639,6244,5757,5429,5108,5814
1998,4303,4550,5373,5681,6056,7036,8096,8357,6467,6132,5417,4788,6021
1999,4720,4993,5851,5881,6495,7546,8155,8251,6956,6385,5628,5473,6361
2000,4648,4954,6042,6075,7014,7488,8014,8212,6597,6462,5849,5285,6387
2001,4703,5157,6121,6371,6705,7584,8082,8166,7109,6128,6444,5303,6489
2002,4663,5244,6086,6279,6699,8063,8360,8516,6867,6723,6130,5899,6627
2003,5316,5227,6141,6346,6908,8030,8659,8752,7079,6838,6295,5715,6776
2004,4914,5198,6512,6779,6921,7809,8475,8383,7250,6883,6466,6041,6803
2005,5145,5757,6817,6798,7000,8125,8900,8498,7227,6971,6914,6333,7040
2006,5765,6120,6914,7250,7545,8666,9111,8761,7738,7437,7053,6408,7397
2007,5595,6045,7258,7262,7577,8585,9135,9183,7840,,7091,5959
2008,5148,5349,6850,6790,7226,7788,8403,8318,6986,6832,6685,5190,6797
2009,5379,5661,6714,6796,7414,8337,9017,8661,7455,7063,6668,5856,7085
2010,5406,5734,6617,7064,7222,8077,8929,8696,7798,7321,6377,5900,7095
2011,5467,5688,6777,7079,7442,8383,9235,8750,7361,7213
